
ID,name,base_ID,country_ID,category,length,longestStraight,elevationDiff,altitude,minTimeH,minTimeM,minTimeS,maxTimeH,maxTimeM,maxTimeS,layoutNumber,isReverse,pitLaneDelta,isOval,numCorners,noRain
4,Daytona Tri-Oval,14,3,circuit,4023,914,10.0,8.4,0,0,0,0,0,0,1,false,14.0,true,4,true
10,Suzuka Circuit,29,2,circuit,5807,1200,40.0,29.0,4,20,0,19,40,0,1,false,20.5,false,20,false
11,High Speed Ring,20,2,original,4345,1060,8.5,300.0,3,28,0,19,30,0,1,false,10.0,false,6,false
16,Fuji International Speedway,18,2,circuit,4563,1475,40.0,566.76755,4,45,0,18,40,0,1,false,17.0,false,16,false
41,WeatherTech Raceway Laguna Seca,33,3,circuit,3602,453,55.0,232.0,7,0,0,19,0,0,1,false,32.0,false,11,true
51,Deep Forest Raceway,15,16,original,4253,765,50.0,1500.0,5,30,0,21,30,0,1,false,15.0,false,18,true
95,Nurburgring Nordschleife,24,5,circuit,20832,2135,300.0,480.0,5,0,0,22,0,0,1,false,22.0,false,73,false
116,Mount Panorama Motor Racing Circuit,22,8,circuit,6213,1916,174.0,800.0,0,0,0,0,0,0,1,false,23.5,false,23,true
119,Brands Hatch Grand Prix Circuit,8,4,circuit,3946,475,35.0,140.0,5,30,0,20,30,0,1,false,9.0,false,9,true
122,Willow Springs International Raceway: Big Willow,34,3,circuit,3951,756,50.0,744.199951171875,5,30,0,20,30,0,1,false,11.0,false,10,true
123,Willow Springs International Raceway: Streets of Willow Springs,34,3,circuit,2675,400,20.0,744.199951171875,5,30,0,20,30,0,1,false,15.0,false,14,true
125,Willow Springs International Raceway: Horse Thief Mile,34,3,circuit,1624,216,42.0,744.199951171875,5,30,0,19,0,0,1,false,14.0,false,11,true
152,Autodromo de Interlagos,5,17,circuit,4309,650,43.0,755.34,4,30,0,19,0,0,1,false,30.0,false,15,true
154,Goodwood Motor Circuit,19,4,circuit,3809,514,10.0,886.0,5,0,0,21,0,0,1,false,11.0,false,7,true
346,Brands Hatch Indy Circuit,8,4,circuit,1944,400,24.0,140.0,5,30,0,20,30,0,2,false,11.0,false,5,true
347,Nurburgring Nordschleife Tourist Layout,24,5,circuit,20832,2135,300.0,480.0,5,0,0,22,0,0,2,false,0.0,false,73,false
348,Nurburgring 24h,24,5,circuit,25378,2135,300.0,480.0,0,0,0,0,0,0,3,false,22.0,false,89,false
349,Nurburgring GP,24,5,circuit,5148,620,57.0,480.0,6,0,0,21,0,0,4,false,23.0,false,17,false
351,Tokyo Expressway - Central Clockwise,30,2,city,4405,600,8.0,20.0,0,0,0,0,0,0,1,false,18.5,false,13,false
353,Fishermans Ranch,17,3,snow_dirt,6893,434,145.0,1180.0,6,0,0,20,50,0,1,false,10.0,false,40,true
354,Northern Isle Speedway,23,3,original,900,134,0.0,0.0,0,0,0,0,0,0,1,false,20.0,true,4,true
356,Blue Moon Bay Speedway,7,3,original,3200,1060,0.0,0.0,6,30,0,19,30,0,1,false,18.0,true,3,true
357,BB Raceway,9,2,original,1665,386,0.0,0.0,5,30,0,17,50,0,1,false,28.5,true,5,true
358,Alsace - Village,2,6,original,5423,450,57.3,133.0,4,45,0,22,29,0,1,false,10.0,false,17,true
361,Tokyo Expressway - East Clockwise,30,2,city,7301,2000,32.0,20.0,0,0,0,0,0,0,1,false,10.0,false,13,false
362,Tokyo Expressway - South Clockwise,30,2,city,5201,900,24.0,20.0,0,0,0,0,0,0,1,false,9.5,false,17,true
363,Dragon Trail - Seaside,16,18,original,5209,653,38.0,20.0,6,15,0,19,29,0,1,false,14.0,false,18,true
365,Autodrome Lago Maggiore - Full Course,3,7,original,5809,800,74.0,700.0,5,30,0,21,30,0,1,false,17.0,false,17,true
372,Colorado Springs - Lake,13,3,snow_dirt,2990,177,15.0,1805.0,0,0,0,0,0,0,1,false,13.0,false,15,true
376,Kyoto Driving Park - Yamagiwa,21,2,original,4912,743,38.6,150.0,4,48,0,19,12,0,1,false,14.0,false,15,true
439,Alsace - Village Reverse,2,6,original,5423,450,57.3,133.0,4,45,0,22,29,0,2,true,10.0,false,17,true
440,Kyoto Driving Park - Miyabi,21,2,original,1953,442,17.5,150.0,4,48,0,19,12,0,2,false,14.0,false,7,true
442,Suzuka Circuit East Course,29,2,circuit,2243,800,33.6,29.0,4,20,0,19,40,0,2,false,21.5,false,9,false
443,Fishermans Ranch Reverse,17,3,snow_dirt,6893,434,145.0,1180.0,6,0,0,20,50,0,2,true,10.0,false,40,true
444,BB Raceway Reverse,9,2,original,1665,386,0.0,0.0,5,30,0,17,50,0,2,true,30.0,true,5,true
449,Blue Moon Bay Speedway Reverse,7,3,original,3200,1060,0.0,0.0,6,30,0,19,30,0,2,true,20.0,true,3,true
450,Tokyo Expressway - Central Counterclockwise,30,2,city,4369,600,16.0,20.0,0,0,0,0,0,0,2,false,16.0,false,14,false
451,Tokyo Expressway - East Counterclockwise,30,2,city,7192,2000,32.0,20.0,0,0,0,0,0,0,2,false,10.0,false,13,false
452,Willow Springs International Raceway: Horse Thief Mile Reverse,34,3,circuit,1624,216,42.0,744.199951171875,5,30,0,19,0,0,2,true,14.0,false,11,true
453,Sardegna - Windmills,27,7,snow_dirt,3310,298,75.0,145.0,6,35,0,22,10,0,1,false,6.0,false,14,true
454,24 Heures du Mans Racing Circuit,1,6,circuit,13629,1679,37.3,811.0,0,0,0,0,0,0,1,false,30.0,false,38,false
462,Circuit de Spa-Francorchamps,12,10,circuit,7004,751,104.0,420.9,8,10,0,21,0,0,1,false,25.0,false,21,false
469,Autodromo Nazionale Monza,4,7,circuit,5793,938,13.5,800.0,7,40,0,18,50,0,1,false,15.0,false,11,true
470,Red Bull Ring,25,15,circuit,4318,939,65.45,700.0,6,0,0,20,5,0,1,false,25.0,false,10,false
471,Tsukuba Circuit,32,2,circuit,2045,445,5.3,24.0,4,50,0,18,20,0,1,false,17.0,false,8,false
598,Willow Springs International Raceway: Streets of Willow Springs Reverse,34,3,circuit,2675,400,20.0,744.199951171875,5,30,0,20,30,0,2,true,15.0,false,14,true
599,Sardegna - Windmills Reverse,27,7,snow_dirt,3310,298,75.0,145.0,6,35,0,22,10,0,2,true,6.0,false,14,true
600,Colorado Springs - Lake Reverse,13,3,snow_dirt,2990,177,15.0,1805.0,0,0,0,0,0,0,2,true,13.0,false,15,true
601,Dragon Trail - Seaside Reverse,16,18,original,5209,653,38.0,20.0,6,15,0,19,29,0,2,true,14.0,false,18,true
602,Autodrome Lago Maggiore - Full Course Reverse,3,7,original,5809,800,74.0,700.0,5,30,0,21,30,0,2,true,17.0,false,17,true
613,Kyoto Driving Park - Yamagiwa Reverse,21,2,original,4912,743,38.6,150.0,4,48,0,19,12,0,4,true,14.0,false,15,true
742,Autodromo Nazionale Monza No Chicane,4,7,circuit,5755,1238,13.5,800.0,7,40,0,18,50,0,2,false,15.0,false,9,true
747,Deep Forest Raceway Reverse,15,16,original,4253,765,50.0,1500.0,5,30,0,21,30,0,2,true,15.0,false,18,true
776,Kyoto Driving Park - Yamagiwa+Miyabi,21,2,original,6846,743,38.6,150.0,4,48,0,19,12,0,5,false,14.0,false,19,true
777,Kyoto Driving Park - Yamagiwa+Miyabi Reverse,21,2,original,6846,743,38.6,150.0,4,48,0,19,12,0,6,true,14.0,false,19,true
790,Autodrome Lago Maggiore - East End Reverse,3,7,original,2010,500,42.0,700.0,5,30,0,21,30,0,6,true,17.0,false,8,true
791,Autodrome Lago Maggiore - Centre Reverse,3,7,original,1706,550,12.0,700.0,5,30,0,21,30,0,4,true,17.0,false,8,true
792,Autodrome Lago Maggiore - West End,3,7,original,2444,373,48.0,700.0,5,30,0,21,30,0,7,false,17.0,false,10,true
793,Autodrome Lago Maggiore - Centre,3,7,original,1706,550,12.0,700.0,5,30,0,21,30,0,3,false,17.0,false,8,true
794,Autodrome Lago Maggiore - West End Reverse,3,7,original,2444,373,48.0,700.0,5,30,0,21,30,0,8,true,17.0,false,10,true
795,Autodrome Lago Maggiore - East End,3,7,original,2010,500,42.0,700.0,5,30,0,21,30,0,5,false,17.0,false,8,true
819,Blue Moon Bay Speedway - Infield B,7,3,original,2860,890,0.0,0.0,6,30,0,19,30,0,4,false,18.0,false,5,true
820,Blue Moon Bay Speedway - Infield A,7,3,original,3350,890,0.0,0.0,6,30,0,19,30,0,3,false,18.0,false,10,true
822,Blue Moon Bay Speedway - Infield A Reverse,7,3,original,3350,890,0.0,0.0,6,30,0,19,30,0,5,true,20.0,false,10,true
823,Blue Moon Bay Speedway - Infield B Reverse,7,3,original,2860,890,0.0,0.0,6,30,0,19,30,0,6,true,20.0,false,5,true
825,Circuit de Sainte-Croix - A,11,6,original,9477,915,44.0,480.0,6,31,0,22,55,0,1,false,14.0,false,19,true
826,Circuit de Sainte-Croix - A Reverse,11,6,original,9477,915,44.0,480.0,6,31,0,22,55,0,2,true,14.0,false,19,true
827,Circuit de Sainte-Croix - B,11,6,original,7062,915,44.0,480.0,6,31,0,22,55,0,3,false,14.0,false,14,true
828,Circuit de Sainte-Croix - B Reverse,11,6,original,7062,915,44.0,480.0,6,31,0,22,55,0,4,true,14.0,false,14,true
829,Circuit de Sainte-Croix - C,11,6,original,10825,1807,44.0,480.0,6,31,0,22,55,0,5,false,14.0,false,24,true
830,Circuit de Sainte-Croix - C Reverse,11,6,original,10825,1807,44.0,480.0,6,31,0,22,55,0,6,true,14.0,false,24,true
837,Fuji International Speedway (Short),18,2,circuit,4526,1475,40.0,566.76755,4,45,0,18,40,0,2,false,17.0,false,14,false
